"155,5708,7654,13459,18746,22415,26656,40266,51119"
"1241,21474,22187,22426,22874,27879,28765,54272,54374"
"4666,7737,22018,23874,24010,26656,27865,28909,51684"
"27552,53514,54369,54738,54803,55301,55698,56055,60334"
"155,172,1608,2144,2198,4389,11144,11343,52987"
"21474,22187,22426,22874,23897,26799,27879,28765,39169"
"104,105,119,155,163,220,4401,7115,54741"
"22047,22383,22406,23869,23874,51806,53734,54741"
"148,172,178,267,303,308,1877,2198"
"209,220,292,300,2207,4126,7115,29622"
"7236,29834,39186,53271,53294,53422,53514,54481"
"26693,26722,26839,26850,28905,29433,44640,51687"
"53925,54738,55134,55147,55165,56055,56493,56824"
"961,1492,3852,18759,19238,33806,50621,54852"
"363,432,966,1492,7452,10151,11144,21474"
"155,3034,11144,17464,18746,37807,40129,54488"
"236,252,254,1627,2133,6881,23883,26799"
"252,10934,16907,24830,27921,40129,54272,56844"
"468,4666,6881,22415,23830,26590,40974,54754"
"148,186,265,272,300,1012,3430,27921"
"10602,11020,26762,35828,38862,53311,53436,54754"
"93,104,163,303,9870,24968,39189,44207"
"148,186,193,220,272,300,303,1608"
"82,93,119,148,155,163,223,236"
"3243,29622,40974,50715,50721,51771,54272,59466"
"105,119,198,220,2144,9310,9990,62843"
"1412,1742,10791,10966,26850,59496,63564,63764"
"18737,18740,19227,19686,22058,26850,28748,44207"
"223,236,252,2133,4126,7923,11169,12881"
"27199,35828,37424,37807,38862,39140,54201,55296"
"3852,11486,22346,22426,24726,24968,27879,28765"
"155,163,220,223,272,461,4126,55182"
"159,223,303,1608,4126,9870,29622,54258"
"51741,53294,53436,53470,53952,55301,56055,56575"
"9990,10151,10332,11026,14480,24484,26157,51687"
"5100,5319,10610,14464,23883,26656,40164,51803"
"259,267,474,22406,24968,27938,51777,53499"
"9979,11020,26673,51119,53294,54481,54878,55432"
"1372,1423,1587,1731,7668,22874,40118,59720"
"155,163,303,7115,9870,10978,53508,53618"
"295,437,1535,1731,1906,7919,7935,59459"
"163,178,1608,3013,3430,4126,41210,53436"
"52,148,172,220,252,1608,9310,53436"
"492,10653,44207,50715,50721,53436,54520,54803"
"17464,37296,53503,55432,56275,60261,60334,61409"
"2198,3034,4404,53271,53508,53514,53607,54258"
"209,461,468,10610,11144,40118,64936,64947"
"155,163,254,3243,11144,26636,28748,63058"
"11144,27199,28951,35828,40118,53436,54272,56836"
"474,10776,28748,54362,54811,55147,55328,59459"
"17795,18746,19238,27912,28947,51684,51711,51771"
"35828,37424,37807,38862,39140,40138,56850,62956"
"916,12881,22187,40250,40767,41037,51687,51722"
"9990,10151,17795,18759,19241,19690,24909,26157"
"468,873,3243,26850,35828,40118,53436,54272"
"5100,22084,22411,22415,28947,51771,54803,54807"
"926,19686,28917,44207,52376,53411,54811,55017"
"82,93,119,155,1585,2144,2207,4126"
"252,303,1608,4122,4126,4389,9870,54362"
"5708,7676,13459,23874,26590,27865,51119,51711"
"5100,40280,44554,50721,54520,54741,54754,54803"
"40767,50704,51681,52362,52930,55147,55698,56493"
"7737,9870,11139,22411,24010,24397,40164,54481"
"11026,17795,19690,24484,24909,26157,40974,54754"
"1300,1646,1746,1829,17492,26673,53042,57942"
"220,1412,1697,3243,10933,10934,10945,10958"
"7676,23874,23883,53290,53304,53379,55182,56069"
"873,1300,14480,24909,26590,51154,51771,59450"
"1241,3243,7900,11020,11139,26673,27921,59720"
